IBI,HR,NO2,Noise,NH3,PM10,CO,PM25,Label,PM1,EDA,BVP
0,0.384843885,0.117921164,0.680064152,0.156526506,0.009713024,0.930909091,0.009713024,5,0.009713024,0,0
0,0.378665861,0.117921164,0.67750784,0.15894105,0.009094923,0.932606061,0.009094923,5,0.009094923,0,0
0,0.373057807,0.117921164,0.674951528,0.161355594,0.008476821,0.93430303,0.008476821,5,0.008476821,0,0
0,0.36733556,0.117921164,0.672395216,0.163770138,0.00785872,0.936,0.00785872,5,0.00785872,0,0
0,0.36049757,0.117921164,0.669838904,0.166184682,0.007240618,0.93769697,0.007240618,5,0.007240618,0,0
0,0.355159171,0.117921164,0.667282592,0.168599226,0.006622517,0.939393939,0.006622517,5,0.006622517,0,0
0,0.352211367,0.117921164,0.66472628,0.17101377,0.006004415,0.941090909,0.006004415,5,0.006004415,0,0
0,0.34954399,0.117921164,0.662169968,0.173428314,0.005386313,0.942787879,0.005386313,5,0.005386313,0,0
0,0.346695131,0.117921164,0.659613656,0.175842858,0.004768212,0.944484848,0.004768212,5,0.004768212,0,0
0,0.344003889,0.117921164,0.657057344,0.178257401,0.00415011,0.946181818,0.00415011,5,0.00415011,0,0
0,0.340611909,0.117921164,0.654501032,0.180671945,0.003532009,0.947878788,0.003532009,5,0.003532009,0,0
0,0.337485771,0.117921164,0.65194472,0.183086489,0.002913907,0.949575758,0.002913907,5,0.002913907,0,0
0,0.336216224,0.117921164,0.649388408,0.185501033,0.002295806,0.951272727,0.002295806,5,0.002295806,0,0
0,0.335551617,0.117921164,0.646832096,0.187915577,0.001677704,0.952969697,0.001677704,5,0.001677704,0,0
0,0.332770213,0.117921164,0.644275784,0.190330121,0.001059603,0.954666667,0.001059603,5,0.001059603,0,0
0,0.331135049,0.117921164,0.641719472,0.192744665,0.000441501,0.956363636,0.000441501,5,0.000441501,0,0
0,0.329518613,0.117921164,0.641472938,0.194962103,0,0.956121212,0,5,0,0,0
0,0.327157187,0.117921164,0.65306402,0.196169375,0,0.951030303,0,5,0,0,0
0,0.325773944,0.117921164,0.664655102,0.197376647,0,0.945939394,0,5,0,0,0
0,0.32615978,0.117921164,0.676246183,0.198583919,0,0.940848485,0,5,0,0,0
0,0.326775328,0.117921164,0.687837265,0.199791191,0,0.935757576,0,5,0,0,0
0,0.327749532,0.117921164,0.699428346,0.200998463,0,0.930666667,0,5,0,0,0
0,0.32823796,0.117921164,0.711019428,0.202205735,0,0.925575758,0,5,0,0,0
0,0.328290333,0.117921164,0.72261051,0.203413007,0,0.920484848,0,5,0,0,0
0,0.330078639,0.117921164,0.734201591,0.204620279,0,0.915393939,0,5,0,0,0
0,0.329986489,0.117921164,0.745792673,0.205827551,0,0.91030303,0,5,0,0,0
0,0.331718113,0.117921164,0.757383755,0.207034823,0,0.905212121,0,5,0,0,0
0,0.334126607,0.117921164,0.768974836,0.208242095,0,0.900121212,0,5,0,0,0
0,0.337657807,0.117921164,0.780565918,0.209449367,0,0.895030303,0,5,0,0,0
0,0.341707101,0.117921164,0.792157,0.210656639,0,0.889939394,0,5,0,0,0
0,0.348478299,0.117921164,0.803748081,0.211863911,0,0.884848485,0,5,0,0,0
0,0.359568447,0.117921164,0.815339163,0.213071183,0,0.879757576,0,5,0,0,0
0,0.368246287,0.117921164,0.826930244,0.214278455,0,0.874666667,0,5,0,0,0
0,0.373793515,0.117921164,0.838521326,0.215485727,0,0.869575758,0,5,0,0,0
0,0.379277432,0.117921164,0.850112408,0.216692999,0,0.864484848,0,5,0,0,0
0,0.38534839,0.117921164,0.861703489,0.217900271,0,0.859393939,0,5,0,0,0
0,0.392564924,0.117921164,0.873294571,0.219107543,0,0.85430303,0,5,0,0,0
0,0.398008069,0.117921164,0.884885653,0.220314815,0,0.849212121,0,5,0,0,0
0,0.40313764,0.117921164,0.896476734,0.221522087,0,0.844121212,0,5,0,0,0
0,0.40985431,0.117921164,0.908067816,0.222729359,0,0.839030303,0,5,0,0,0
0,0.415421095,0.117921164,0.919658898,0.223936631,0,0.833939394,0,5,0,0,0
0,0.422691992,0.117921164,0.931249979,0.225143903,2.08E-16,0.828848485,2.08E-16,5,2.08E-16,0,0
0,0.432218076,0.119918216,0.930711569,0.226997927,0.009271523,0.835636364,0.009271523,5,0.009271523,0,0
0,0.441539806,0.12224811,0.928151576,0.228959744,0.018543046,0.842424242,0.018543046,5,0.018543046,0,0
0,0.454985412,0.124578004,0.925591583,0.230921561,0.02781457,0.849212121,0.02781457,5,0.02781457,0,0
0,0.469318375,0.126907898,0.923031591,0.232883378,0.037086093,0.856,0.037086093,5,0.037086093,0,0
0,0.483856356,0.129237792,0.920471598,0.234845195,0.046357616,0.862787879,0.046357616,5,0.046357616,0,0
0,0.498249317,0.131567686,0.917911606,0.236807012,0.055629139,0.869575758,0.055629139,5,0.055629139,0,0
0,0.514185789,0.13389758,0.915351613,0.238768829,0.064900662,0.876363636,0.064900662,5,0.064900662,0,0
